"文件","原行号","原入口","原中文","原英文","改写中文","改写英文","当前结论"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","347","","Token 只会写入此连接专属的 macOS Keychain 槽位。","The token is stored only in this connection’s macOS Keychain slot.","机器人密钥（Token）会保存在本机 macOS 钥匙串中。","The bot token is stored in this Mac’s Keychain.","最终文字仍在源码"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","388","","只迁移 Token，旧 allowlist 与 chat ID 不会自动成为可信身份。","Only the token is migrated. Legacy allowlists and chat IDs are not trusted automatically.","导入密钥后仍需重新配对 Telegram 用户，之前允许的用户不会自动获得访问权限。","After importing the token, pair the Telegram user again. Previously allowed users will not automatically receive access.","最终文字仍在源码"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","471","","配对明文不在数据库中；应用重启后需要重新生成配对码。","Pairing plaintext is not persisted. Regenerate the code after an app restart.","应用重启后，请重新生成配对码。","Generate a new pairing code after restarting the app.","最终文字仍在源码"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","529","","可信端点","Trusted endpoint","已配对用户","Paired user","最终文字仍在源码"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","542","","当前 Agent Preset 已不可用。请选择新的预设；新消息在修复前会失败关闭。","The current Agent Preset is unavailable. Choose another preset before new messages can run.","当前智能体配置已不可用。请选择可用配置后再发送新消息。","The current agent configuration is unavailable. Select an available configuration before sending new messages.","最终文字仍在源码"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","548","","只影响之后创建的会话和任务推送；运行中的会话保持冻结配置。","Affects only future conversations and task pushes. Running conversations keep their frozen configuration.","更改将用于新对话和新任务，正在进行的对话继续使用原配置。","Changes apply to new conversations and tasks. Ongoing conversations keep their existing settings.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","12","copy.zh-CN.intro","使用独立、持久的本机浏览器 Profile；登录态在 Zeus 会话间共享，但不会与 Chrome 共享。","Uses an independent, persistent local browser profile. Sign-in state is shared across Zeus sessions, but not with Chrome.","Zeus 使用独立的浏览器资料。网站登录会在 Zeus 对话之间保留，但不与 Chrome 共享。","Zeus uses a separate browser profile. Website sign-ins persist across Zeus conversations but are not shared with Chrome.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","13","copy.zh-CN.unavailable","当前环境没有可用的内置浏览器设置桥接。","The built-in browser settings bridge is unavailable in this environment.","此处无法使用内置浏览器设置。","Built-in browser settings are unavailable here.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","16","copy.zh-CN.enabledHelp","允许会话打开浏览器标签、批注页面，并向 Codex 暴露受控浏览器工具。","Lets sessions open browser tabs, annotate pages, and expose guarded browser tools to Codex.","允许你在对话中打开和批注网页，并让 AI 按授权操作浏览器。","Open and annotate web pages in conversations, and let the AI use the browser with your permission.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","18","copy.zh-CN.webLinksHelp","控制会话中的 HTTPS 链接和网站卡主操作。","Controls the primary action for HTTPS links and website cards in conversations.","选择点击对话中的网页链接或网站卡片时使用的浏览器。","Choose the browser used when you open a web link or website card in a conversation.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","22","copy.zh-CN.filesHelp","控制会话中的源码引用和本地文件主操作；目标不可用时会安全回退。","Controls source citations and local-file primary actions, with safe fallback when unavailable.","选择点击对话中的代码引用和本地文件时使用的应用。","Choose the app used to open code references and local files in conversations.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","35","copy.zh-CN.allSites","允许 Agent 访问所有站点","Allow Agent access to all sites","允许 AI 访问所有网站","Allow AI access to all websites","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","48","copy.zh-CN.computerHelp","全局启用后，Agent 可按需控制其他应用；macOS 辅助功能与录屏权限仍由系统管理，敏感动作仍逐次确认。","When globally enabled, agents may control other apps on demand. macOS permissions and per-action sensitive confirmations still apply.","启用后，AI 可以按需操作其他应用。你仍需授予 macOS 辅助功能和录屏权限；敏感操作会再次征求同意。","Once enabled, the AI can operate other apps as needed. macOS Accessibility and Screen Recording permissions are still required. Sensitive actions will ask for approval again.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","60","copy.zh-CN.chromeHelp","通过 Zeus 自有 Native Messaging Host 精确声明并控制 Chrome 标签。","Uses the Zeus-owned Native Messaging Host to claim and control exact Chrome tabs.","连接后，AI 可以在你授权的 Chrome 标签页中读取内容和操作页面。","Once connected, the AI can read and operate Chrome tabs you authorize.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","62","copy.zh-CN.edgeHelp","使用与 Chrome 隔离的扩展身份、Host manifest 和连接。","Uses an extension identity, host manifest, and connection isolated from Chrome.","连接 Edge 浏览器，授权与 Chrome 分开管理。","Connect Edge with permissions managed separately from Chrome.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","63","copy.zh-CN.retiredTitle","旧插件运行时","Retired plugin runtimes","旧版浏览器和电脑工具","Older browser and computer tools","最终文字仍在源码"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","65","copy.zh-CN.retiredArchive","归档旧运行时","Archive old runtimes","备份并移除旧工具","Back up and remove older tools","最终文字仍在源码"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","26","copy.zh-CN.statusHelp","新会话和空闲会话使用远程宿主；设备配对和连接由本机 Codex CLI 的官方 Remote Control 提供。","New and idle sessions use the remote host; device pairing and connectivity use the official Remote Control in the local Codex CLI.","通过 Codex 官方 Remote Control 配对设备后，可以远程访问新对话和空闲对话。","Pair a device using Codex’s official Remote Control to access new and idle conversations remotely.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","30","copy.zh-CN.standaloneReadyHelp","远程守护进程将从 Zeus 独立 Codex 目录的官方固定入口启动。","The remote daemon will start from the official fixed entry in Zeus's isolated Codex home.","远程连接使用 Zeus 专用的 Codex 安装。","Remote connections use the Codex installation dedicated to Zeus.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","31","copy.zh-CN.standaloneMissingHelp","普通 Codex CLI 已可用，但其他 CODEX_HOME 下的安装不能替代 Zeus 独立运行目录。复制命令到终端执行，完成 Zeus 专属登录后再刷新。","The regular Codex CLI is available, but an install under another CODEX_HOME cannot replace Zeus's isolated runtime. Copy this command to Terminal, finish the Zeus-specific login, and refresh.","需要为 Zeus 单独安装并登录 Codex 远程服务。请复制命令到终端执行，完成登录后再刷新。","Zeus needs a separate installation and sign-in for the Codex remote service. Copy the command, run it in Terminal, sign in, then refresh.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","35","copy.zh-CN.recoveryHelp","按下方真实原因完成登录、联网或授权恢复后重试。Zeus 不会自动安装或使用内置回退。","Follow the actual reason below to restore login, network, or authorization, then retry. Zeus does not install automatically or use a bundled fallback.","请先解决下方提示的问题，再重新检测连接。","Resolve the issue shown below, then check the connection again.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","36","copy.zh-CN.retry","重新检测并重试","Check again and retry","重新检测连接","Check connection again","最终文字仍在源码"
"apps/desktop/src/renderer/settings/MenuBarUsageWindow.tsx","20","copy.zh-CN.noProvidersDetail","供应源产生真实 Token 后，会自动出现在这里。","Providers appear here after Zeus records real tokens.","使用 AI 后，这里会显示各个服务的用量。","Usage for each AI service appears here after you use it.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/MenuBarUsageWindow.tsx","49","copy.zh-CN.codexOnlyCompatibility","当前旧执行宿主仅能汇总 Codex；安全交接后恢复全部供应源。","The current legacy host can summarize Codex only. All providers return after a safe handoff.","当前后台版本只能显示 Codex 用量；后台更新后将显示其他服务。","The current background service can only show Codex usage. Other services will appear after it is updated.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","227","","配置供应商后，各项目可选择多个可运行模型。API Key 只保存到本机钥匙串。","Configure providers once, then let each project select multiple runnable models. API keys stay in the local Keychain.","填写服务地址和访问密钥（API Key），即可在项目中选择该服务的模型。密钥只保存在本机钥匙串。","Enter the service address and API key to use its models in projects. The key is stored only in this Mac’s Keychain.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","332","","模型路由与能力","Model routing and capabilities","模型连接与功能","Model connections and features","最终文字仍在源码"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","333","","每个模型独立选择真实协议与认证；能力状态仍以当前渠道的运行证据为准。","Choose the actual protocol and authentication per model. Capability states still depend on runtime evidence from this channel.","为每个模型选择服务支持的请求格式和登录方式。功能是否可用以检测结果为准。","Choose the request format and authentication supported by the service for each model. Feature availability is based on checks of that connection.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","611","capability.tools","等待真实工具闭环探针。","","尚未检测工具调用功能。","Tool use has not been checked yet.","本轮后续已有调整；以入口清单最终值为准"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","612","capability.imageInput","等待真实图片输入探针。","","尚未检测图片输入功能。","Image input has not been checked yet.","本轮后续已有调整；以入口清单最终值为准"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","613","capability.streaming","等待真实流式输出探针。","","尚未检测逐步显示回复的功能。","Streaming responses have not been checked yet.","本轮后续已有调整；以入口清单最终值为准"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","614","capability.usage","等待真实用量字段探针。","","尚未检测服务是否提供用量信息。","Usage reporting has not been checked yet.","本轮后续已有调整；以入口清单最终值为准"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","651","zhModelCapabilityPendingReason","待 Zeus 根据渠道和模型档案自动识别。","","等待识别此服务中该模型支持的功能。","Waiting to identify the features this service supports for the model.","本轮后续已有调整；以入口清单最终值为准"
"apps/desktop/src/renderer/settings/ProjectModelsSettings.tsx","103","","可同时选择多个 Pi 模型；默认模型只负责预选，推送任务和会话仍可逐次切换。","Select multiple Pi models. The default only controls preselection; tasks and conversations can still switch per turn.","可选择多个模型供此项目使用。新任务和新对话会预选默认模型，你仍可随时改选。","Choose multiple models for this project. New tasks and conversations preselect the default model, and you can choose another.","最终文字仍在源码"
"apps/desktop/src/renderer/settings/TaskManagementStatusEditor.tsx","219","","这个状态承接现有任务行为。请选择接续该行为的替代状态。","This status carries existing task behavior. Choose a replacement for that behavior.","这个状态会触发特定的任务操作。请选择删除后承担这些操作的替代状态。","This status triggers specific task actions. Choose a replacement status to handle those actions after deletion.","最终文字仍在源码"
"apps/desktop/src/renderer/code/ProjectSourceWorkspace.tsx","112","ProjectSourceWorkspace.openFile","Electron 源码桥接未就绪。","Electron source bridge is unavailable.","Zeus 的文件编辑服务尚未连接。","Zeus has not connected to the file editing service yet.","最终文字仍在源码"
"apps/desktop/src/renderer/code/ProjectSourceWorkspace.tsx","197","ProjectSourceWorkspace","Electron 源码桥接未就绪。","Electron source bridge is unavailable.","Zeus 的文件编辑服务尚未连接。","Zeus has not connected to the file editing service yet.","最终文字仍在源码"
"apps/desktop/src/renderer/code/ProjectSourceWorkspace.tsx","544","ProjectSourceWorkspace","正在读取真实项目目录…","Loading the real project directory…","正在读取项目目录…","Loading the project folder…","最终文字仍在源码"
"apps/desktop/src/renderer/code/ProjectSourceWorkspace.tsx","647","ProjectSourceWorkspace","这里会显示和编辑当前项目中的真实源码。","The real source from this project will appear here.","打开文件后，可以在这里查看和编辑代码。","Open a file to view and edit its code here.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","247","","操作停在冲突现场","Operation stopped on conflicts","存在冲突，需要先处理","Conflicts need to be resolved","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","308","","正在读取项目 Git 现场","Loading project Git state","正在读取项目的 Git 状态","Loading the project’s Git status","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","309","","正在发现当前项目中的真实仓库。","Discovering real repositories in this project.","正在查找项目中的 Git 仓库。","Finding Git repositories in this project.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","330","","Zeus 只展示当前项目目录内实时发现的真实 Git 根。","Zeus only shows real Git roots discovered inside the current project.","请检查项目目录是否包含 Git 仓库，然后重新扫描。","Check that the project folder contains a Git repository, then scan again.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","607","quickActions.label","签出标签或 Revision…","Checkout Tag or Revision…","切换到标签或提交…","Switch to a tag or commit…","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","819","","从全部项目仓库获取远端变化，并使用同一种策略更新各仓当前分支。脏仓会先 Smart Stash，完成后恢复。","Fetch every project repository and update each current branch with one strategy. Dirty repositories use Smart Stash and restore.","获取所有仓库的远端变化，并按所选方式更新当前分支。未提交的文件会先备份，更新后再恢复。","Fetch remote changes for all repositories and update their current branches using the selected method. Uncommitted files are backed up first and restored afterward.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","984","","签出标签或 Revision","Checkout tag or revision","切换到标签或提交","Switch to a tag or commit","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","986","","签出标签或 Revision","Checkout Tag or Revision","切换到标签或提交","Switch to a tag or commit","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","988","","签出后进入游离提交状态；顶部会持续显示标签或短提交号，并提供从当前位置新建分支。","Checkout enters detached HEAD. The toolbar keeps the tag or short commit visible and offers branch creation from that point.","切换后会停留在所选提交，不属于任何分支。如需继续修改，可以从这里新建分支。","After switching, you will be at the selected commit without being on a branch. Create a branch from there to continue making changes.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1019","outcome","签出 Revision","Checkout revision","切换到所选提交","Switch to the selected commit","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1589","","暂存当前变更","Stash current changes","备份并移出当前修改","Back up and set aside current changes","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1621","","Shelf 会保存 Zeus 创建的项目级补丁；真实条目创建后会按仓库显示。","Shelf stores Zeus project patches and groups real entries by repository.","这里按仓库显示通过 Zeus 保存的修改补丁（Shelf）。","Patches saved through Zeus (Shelf) appear here, grouped by repository.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1633","","这里只记录 Zeus 发起的受控 Git 动作，不提供命令输入。","Only controlled Git actions started by Zeus appear here. There is no command input.","这里显示通过 Zeus 执行的 Git 操作记录。","Git actions performed through Zeus appear here.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1847","","签出标签或 Revision…","Checkout Tag or Revision…","切换到标签或提交…","Switch to a tag or commit…","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1879","","多个仓库会分别创建提交，不伪装成一个跨仓提交。","Each repository creates its own commit.","每个仓库会分别创建提交。","Each repository will receive a separate commit.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","1946","","结果按仓库保留，成功仓库不会回滚。","Results stay per repository; successful pushes are not rolled back.","每个仓库分别显示推送结果；某个仓库失败不会撤销其他仓库已完成的推送。","Push results are shown for each repository. A failed push does not undo successful pushes to other repositories.","最终文字仍在源码"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","2021","","使用 --force-with-lease","Use --force-with-lease","强制推送（仅当远端未被他人更新）","Force push only if the remote has not changed","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitMergeModal.tsx","898","","活动会话不阻止代码交付","Active sessions do not block delivery","仍有会话可能继续修改代码","Conversations may still change the code","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","414","","只推送当前 HEAD。未提交和已暂存改动会原样保留在本机，不会自动提交、回收或合入。","Only the current HEAD will be pushed. Uncommitted and staged changes stay local and will not be committed, reclaimed, or merged.","只推送当前分支已提交的代码。未提交的修改仍留在本机，不会包含在本次推送中。","Only committed code on the current branch will be pushed. Uncommitted changes stay on this computer and are excluded from this push.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","420","","活动会话不阻止 Git 操作","Active sessions do not block Git operations","仍有会话可能继续修改代码","Conversations may still change the code","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","544","","已推送 · worktree 已回收","Pushed · worktree reclaimed","已推送 · 独立工作目录已移除","Pushed · separate working folder removed","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","551","","工作区干净 · 远端受阻","Clean · remote unavailable","没有未提交修改 · 远端操作受阻","No uncommitted changes · remote action blocked","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","552","","工作区干净","Clean","没有未提交修改","No uncommitted changes","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","557","actionLabel","回收 worktree","reclaim the worktree","移除独立工作目录","Remove the separate working folder","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","323","","当前任务还没有关联会话。先从当前任务创建一次会话；会话建立后，可在这里选择它作为本次推送的上下文。","This task has no associated conversations yet. Create a conversation from this task first, then select it here as context for a later push.","此任务还没有会话。创建会话后，可以在这里选择要提供给 AI 的历史对话。","This task has no conversations yet. After creating one, you can select past conversations here to share with the AI.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","601","title","登录 Zeus 专属 Codex","Sign in to Codex for Zeus","登录 Codex 以继续","Sign in to Codex to continue","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","621","","Zeus 已验证专属账号，正在恢复刚才的推送设置并创建会话。","Zeus verified its dedicated account and is restoring your push settings to create the conversation.","登录成功，正在使用刚才的设置创建对话。","Signed in. Creating the conversation with your selected settings.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","625","","正在检查是否有可安全导入的 Codex App 配置；有可导入内容时会单独询问。","Checking for Codex App configuration that can be imported safely. If anything is available, Zeus will ask in a separate dialog.","正在检查可导入的 Codex App 设置，导入前会请你确认。","Checking for Codex App settings to import. You will be asked before importing.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","628","","官方登录页已在系统浏览器中打开。完成授权后无需点击网页中的其他产品按钮，Zeus 会自动回到前台并继续。","The official sign-in page is open in your system browser. After authorization, do not choose another product button there; Zeus will return to the foreground and continue automatically.","请在已打开的官方页面完成登录。登录成功后，Zeus 会自动继续。","Complete sign-in on the official page that opened. Zeus will continue automatically once you are signed in.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","684","","配置文件已经安全导入。Zeus 需要先启动新的 Codex 运行服务，才能保证本次新会话使用这些配置。","The configuration was imported safely. Zeus must start a fresh Codex runtime before this conversation can use it.","配置已导入，需要重新启动 Codex 服务后才能用于新对话。","Settings have been imported. The Codex service needs to restart before new conversations can use them.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","924","modal","直接使用项目目录，或创建、继续独立分支和 worktree","Use the project directory directly, or create and continue isolated branches and worktrees","直接修改项目文件，或使用独立分支与工作目录（worktree）","Edit project files directly, or use a separate branch and working folder (worktree)","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","939","modal","不创建分支或隔离目录，修改直接写入真实项目","No branch or isolated directory; changes write to the real project","修改会直接写入项目文件","Changes are written directly to the project files","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","964","modal","从下方来源分支创建新的独立开发线","Create a new isolated development line from the source branches below","从下方所选分支创建任务专用分支","Create a task branch from the source branch selected below","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","981","modal","创建新会话，继续使用原 worktree 和分支","Create a new conversation in the original worktree and branches","创建新对话，继续使用原来的独立工作目录和分支","Start a new conversation using the existing separate working folder and branch","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","997","modal","AI 将直接读写项目真实目录；现有文件和当前 Git 分支不会被隔离。","The agent writes directly to the real project directory; existing files and the current Git branch are not isolated.","AI 将直接修改此目录中的文件，影响当前项目和 Git 分支。","The AI will edit files directly in this folder, affecting the current project and Git branch.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1014","modal","多仓任务会整体继续，保持原执行目录与可写根一致","Multi-repository tasks continue as one environment to preserve the execution root","多仓库任务会继续使用原来的全部工作目录","Tasks with multiple repositories will keep using all their original working folders","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1188","modal","该仓库没有远端，当前使用本地分支快照。默认不带入原工作区未提交内容。","","该仓库没有远端，将使用本地分支的代码。默认不包含未提交的修改。","This repository has no remote, so local branch code will be used. Uncommitted changes are excluded by default.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1212","modal","显式带入当前项目目录中的未提交内容。","Explicitly copy uncommitted changes from the current project directory.","包含当前项目目录中尚未提交的修改。","Include uncommitted changes from the current project folder.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1298","modal","已记住 Fast，但当前模型不再支持；本次将按 Standard 继续，偏好不会被自动改写。","Fast is remembered, but this model no longer supports it. This run will continue on Standard without changing the preference.","当前模型不支持 Fast，本次将使用标准速度。","The current model does not support Fast. This request will use standard speed.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1336","modal","模型、推理强度、速度、工作模式与权限已由任务阶段冻结；如需调整，请返回任务详情修改尚未启动的阶段配置。","Model, effort, speed, work mode, and permissions are frozen by the task stage. Return to task details to edit an unstarted stage.","本次使用任务阶段中设定的模型、速度和权限。若需调整，请返回任务详情修改尚未启动的阶段。","This run uses the model, speed, and permissions set for the task stage. To change them, return to the task details and edit a stage that has not started.","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1389","modal","正在连接运行内核并读取可用模型…","Connecting to the runtime and loading models…","正在连接 AI 服务并读取可用模型…","Connecting to the AI service and loading available models…","最终文字仍在源码"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","1399","modal","需要先登录 Zeus 专属 Codex；当前推送设置会完整保留。","Sign in to Codex for Zeus first; the current push settings will be preserved.","尚未登录 Codex。请登录后继续创建对话。","Codex is not signed in. Sign in to continue creating the conversation.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/AgentExecutionConfigFields.tsx","106","","服务速率","Service tier","处理速度","Processing speed","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/AgentExecutionConfigFields.tsx","109","","选择服务速率","Choose service tier","选择处理速度","Select processing speed","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","116","","维护可复用的岗位基线。模板不会获得任何项目访问权；分配到项目后才形成独立员工配置。","Maintain reusable role baselines. Templates gain no project access until assigned as a project employee.","保存可重复使用的岗位和工作要求。将模板添加到项目后，再为该员工设置项目权限。","Save reusable roles and work instructions. Add a template to a project, then configure that employee’s project permissions.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","182","","内置模板是只读基线；可将它分配到项目后覆盖。","Built-in templates are read-only baselines. Override them after project assignment.","内置模板不能直接修改。添加到项目后，可以调整该员工的配置。","Built-in templates cannot be edited directly. Add one to a project to customize that employee’s settings.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","185","","模板更新不会静默覆盖现有项目员工。","Template changes never silently overwrite existing project employees.","更新模板不会改变已添加到项目的员工配置。","Updating a template does not change employees already added to projects.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","240","","Agent 基础配置","Agent configuration","AI 工作配置","AI work settings","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","285","","员工只在当前项目内工作。配置变更不会影响已经开始的执行；每次执行固定员工与授权快照。","Employees work only in this project. Running executions keep an immutable employee and grant snapshot.","员工在当前项目中工作。修改配置只影响之后启动的工作，正在执行的工作继续使用原配置和权限。","Employees work in this project. Settings changes apply to new work; ongoing work keeps its original configuration and permissions.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","354","","岗位、领域、Skill、提示词、找活策略和交付权限都属于项目副本。","Role, domain, skills, prompt, work policy, and delivery grants belong to the project copy.","在此设置员工的岗位、技能、工作要求、任务选择方式和交付权限。设置只用于当前项目。","Set the employee’s role, skills, instructions, task selection, and delivery permissions for this project.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","421","","排队、会话、等待与交付保持独立状态。","Queueing, conversation work, waiting, and delivery remain separate states.","查看员工每次工作的进展和交付结果。","View progress and deliverables from each employee run.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","506","","数字员工始终通过 Agent 会话工作；执行命令是运行能力，由权限模式统一约束。","Digital employees always work through an Agent conversation. Command execution is a runtime capability governed by the permission mode.","员工通过 AI 对话完成工作，执行命令时遵循你设置的权限。","Employees work through AI conversations and follow your permissions when running commands.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","532","","允许执行项目已具备的检查；不会创建单元测试体系。","Allows existing project checks without creating a unit-test system.","允许员工运行项目已有的检查。","Allow the employee to run the project’s existing checks.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","537","","执行命令不是员工类型。Agent 是否可执行命令及其可写范围，由上方权限模式和 Zeus 运行时审批共同决定。","Command execution is not an employee type. The permission mode and Zeus runtime approvals determine whether the Agent may run commands and what they may change.","能否执行命令、修改哪些文件，取决于上方权限设置和操作时的授权。","Command execution and file access depend on the permissions above and approvals granted during work.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","545","","允许显式提交动作；不会自动提交。","Allows an explicit commit action; never commits automatically.","允许在你发起提交操作时创建 Git 提交。","Allow Git commits when you request a commit action.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","551","","允许显式推送动作；必须由管理动作或未来流程节点触发。","Allows an explicit push action from a manager command or future workflow node.","允许在你发起推送操作时上传已提交代码。","Allow committed code to be uploaded when you request a push action.","最终文字仍在源码"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","557","","允许显式合入动作；冲突即停止。","Allows an explicit merge action and stops on conflicts.","允许在你发起合入操作时合并代码，遇到冲突会停止。","Allow code merges when you request them. Merging stops if there are conflicts.","最终文字仍在源码"
