"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_PLUGIN_SOURCE_IS_MARKETPLACE","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":88,""value"":""此来源是插件市场，请添加为 Marketplace 后选择需要安装的插件。""}]","这个地址提供的是插件市场。请先添加市场，再选择要安装的插件。","This address is a plugin marketplace. Add the marketplace first, then select a plugin to install.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MANIFEST_MISSING","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":90,""value"":""Plugin 缺少 .codex-plugin/plugin.json 或 .claude-plugin/plugin.json。""}]","插件缺少有效的安装说明文件，无法安装。请使用完整插件包或联系插件作者。","The plugin lacks a valid manifest and cannot be installed. Use the complete plugin package or contact its author.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MANIFEST_INVALID","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":45,""value"":""Manifest interface 必须是对象。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":57,""value"":""Plugin 未声明任何可运行组件。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":149,""value"":""Skill ${skillName} 缺少 description。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":152,""value"":""Manifest 的 skills 路径内没有有效 SKILL.md。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":169,""value"":""Manifest hooks 必须是 ./ 路径、内联对象或它们的数组。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":176,""value"":""Hook 配置缺少 hooks 对象。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":181,""value"":""Hook 事件 ${event} 必须是数组。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":183,""value"":""Hook ${event}[${groupIndex}] 缺少 handlers。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":189,""value"":""Hook ${event} matcher 不是有效正则表达式。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":193,""value"":""Hook ${event} handler 必须是对象。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":213,""value"":""Hook ${event} async 必须是布尔值。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":214,""value"":""SessionEnd Hook 不支持异步执行。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":218,""value"":""SessionEnd Hook 不支持 mcp_tool。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":221,""value"":""Hook ${event} input 必须是对象。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":229,""value"":""Hook ${event} timeout 必须在 0 到 ${maximum} 秒之间。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":241,""value"":""MCP Server ${name} 配置必须是对象。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":245,""value"":""MCP Server ${name} 必须且只能声明 command 或 url。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":248,""value"":""MCP Server ${name} args 必须是字符串数组。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":251,""value"":""MCP Server ${name} env 必须是字符串映射。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":260,""value"":""MCP Server ${name} url 无效。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":263,""value"":""MCP Server ${name} 必须使用 HTTPS；仅本机地址允许 HTTP。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":265,""value"":""MCP Server ${name} URL 不能内嵌凭据。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":267,""value"":""MCP Server ${name} headers 必须是字符串映射。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":271,""value"":""MCP 配置没有 Server。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":284,""value"":""App ${name} 缺少 plugin_asdk_app 技术 ID。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":289,""value"":""App 配置没有注册连接映射。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":305,""value"":""展示资产 ${candidate.kind} 的格式不受支持。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":318,""value"":""Manifest ${label} 指向的路径不存在。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":324,""value"":""Manifest ${label} 指向的路径类型不正确。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":333,""value"":""Plugin 根路径必须是目录。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":346,""value"":""${label} 不是有效 JSON 对象：${basename(path)}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":412,""value"":""${label} 必须使用 kebab-case。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":418,""value"":""${label} 无效。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":431,""value"":""${label} 名称重复：${item.id}""}]","插件缺少有效的安装说明文件，无法安装。请使用完整插件包或联系插件作者。","The plugin lacks a valid manifest and cannot be installed. Use the complete plugin package or contact its author.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MARKETPLACE_INVALID","[{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":152,""value"":""来源中没有找到 marketplace.json。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":157,""value"":""Marketplace plugins 必须是数组。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":164,""value"":""Marketplace Plugin 名称重复：${entry.name}""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":204,""value"":""Marketplace plugins[${index}] 必须是对象。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":207,""value"":""Marketplace Plugin ${name} 缺少 policy。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":215,""value"":""Marketplace Plugin ${name} 使用内联组件，请提供独立插件目录及清单。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":232,""value"":""Marketplace Plugin ${name} 使用了不支持的来源 ${kind}；Zeus 本任务只导入本地与 Git。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":235,""value"":""Marketplace Plugin ${name} source 无效。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":264,""value"":""Marketplace JSON 无效：${basename(path)}""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":306,""value"":""${label} 必须以 ./ 开头。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":333,""value"":""${label} 必须使用 kebab-case。""}]","这个来源没有有效的插件市场信息。请检查市场地址或目录。","This source has no valid marketplace information. Check the marketplace address or folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MARKETPLACE_NAME_MISMATCH","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":175,""value"":""Marketplace 条目 ${input.resolvedSource.expectedName} 指向了 Plugin ${sourceInspection.name}。""}]","市场中的插件名称与下载内容不一致，安装已停止。请联系市场维护者检查。","The marketplace plugin name does not match the downloaded content. Installation stopped. Ask the marketplace maintainer to check it.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_UNSAFE_PATH","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":105,""value"":""Plugin 不允许符号链接：${relative(pluginRoot, absolutePath)}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":110,""value"":""Plugin 包含不支持的文件类型：${relative(pluginRoot, absolutePath)}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":314,""value"":""Manifest ${label} 必须是以 ./ 开头的相对路径。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":316,""value"":""Manifest ${label} 不能离开 Plugin 根目录。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":321,""value"":""Manifest ${label} 解析后离开 Plugin 根目录。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":330,""value"":""Plugin 根目录必须是绝对路径。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":332,""value"":""Plugin 根目录不能是符号链接。""}]","插件中的路径指向允许范围之外，或包含不受支持的链接文件，Zeus 已阻止访问。请检查插件来源。","Plugin paths point outside the allowed location or include unsupported symbolic links. Zeus blocked access. Check the plugin source.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_UNSAFE_SOURCE","[{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":128,""value"":""Git 子目录不能离开仓库根目录。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":131,""value"":""Git 子目录解析后不能离开仓库根目录。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":139,""value"":""Marketplace 子目录不能离开来源根目录。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":180,""value"":""来源节点超过 ${limits.maximumNodes} 个。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":184,""value"":""来源不允许符号链接：${relativePath}""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":190,""value"":""来源包含不支持的文件类型：${relativePath}""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":192,""value"":""来源体积超过 ${Math.floor(limits.maximumBytes / 1024 / 1024)} MiB。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":243,""value"":""Marketplace Plugin ${name} 路径不能离开 Marketplace 根目录。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":281,""value"":""${label}不能是符号链接。""},{""file"":""packages/local-server/src/zeusPluginSource.ts"",""line"":316,""value"":""${label}不能离开来源根目录。""}]","插件中的路径指向允许范围之外，或包含不受支持的链接文件，Zeus 已阻止访问。请检查插件来源。","Plugin paths point outside the allowed location or include unsupported symbolic links. Zeus blocked access. Check the plugin source.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_TOO_LARGE","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":102,""value"":""Plugin 文件节点超过 ${maximumPluginNodes} 个。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":112,""value"":""Plugin 体积超过 ${maximumPluginBytes / 1024 / 1024} MiB。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":339,""value"":""${label} 超过 ${maximumJsonBytes / 1024 / 1024} MiB。""}]","插件内容超过 Zeus 支持的大小或文件数量限制。请减少不需要的文件，或联系插件作者。","The plugin exceeds Zeus’s size or file-count limits. Remove unnecessary files or contact the plugin author.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_RECORD_TOO_LARGE","[{""file"":""packages/storage/src/pluginStore.ts"",""line"":852,""value"":""${label} 超出存储上限。""}]","插件内容超过 Zeus 支持的大小或文件数量限制。请减少不需要的文件，或联系插件作者。","The plugin exceeds Zeus’s size or file-count limits. Remove unnecessary files or contact the plugin author.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_COMPONENT_UNSUPPORTED","[{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":84,""value"":""当前仅支持 Claude 默认 skills 目录插件；尚不支持：${unsupported.join(', ')}。""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":179,""value"":""不支持的 Hook 事件：${event}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":198,""value"":""不支持的 Hook handler 类型：${type}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":353,""value"":""Manifest 包含 Zeus 尚不导入的能力：${unsupported.join(', ')}""},{""file"":""packages/local-server/src/zeusPluginManifest.ts"",""line"":357,""value"":""Manifest 包含当前公开规范之外的字段：${unknown.join(', ')}""}]","这个插件包含 Zeus 暂不支持的功能，无法按当前格式安装。请使用兼容的插件包。","This plugin contains features Zeus does not support and cannot be installed in its current format. Use a compatible package.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_REVISION_CONFLICT","[{""file"":""packages/storage/src/pluginStore.ts"",""line"":430,""value"":""Plugin 已被其他操作更新。""},{""file"":""packages/storage/src/pluginStore.ts"",""line"":453,""value"":""Plugin 已被其他操作更新。""}]","插件或来源在操作期间发生变化。请刷新并确认最新内容后继续。","The plugin or its source changed during the action. Refresh and review the latest content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_SOURCE_CHANGED","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":322,""value"":""Marketplace 来源在复制期间发生变化，请确认来源稳定后重试。""},{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":686,""value"":""Plugin 来源在复制期间发生变化，请确认来源稳定后重试。""}]","插件或来源在操作期间发生变化。请刷新并确认最新内容后继续。","The plugin or its source changed during the action. Refresh and review the latest content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_SOURCE_CONFLICT","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":184,""value"":""Plugin “${sourceInspection.name}”的该来源已由另一安装身份占用。""}]","此插件来源已用于另一份安装。请在已安装列表中查找并管理已有插件。","This plugin source is already used by another installation. Manage it from the installed plugin list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MARKETPLACE_ENTRY_UNAVAILABLE","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":561,""value"":""Marketplace 策略禁止安装 Plugin “${pluginName}”。""}]","插件市场的规则不允许安装这个插件。请查看市场规则或选择其他插件。","Marketplace policy does not allow this plugin to be installed. Review the policy or choose another plugin.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MCP_CONFIGURATION_INVALID","[{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":382,""value"":""MCP 环境或 Header ${key} 必须是字符串。""},{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":394,""value"":""MCP args 必须是字符串数组。""},{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":403,""value"":""${label} 无效。""}]","插件连接配置无效。请按插件提供的说明检查命令、服务地址和访问参数。","The plugin connection configuration is invalid. Check the command, service address, and access parameters against the plugin’s instructions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_CONFIGURATION_INVALID","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":801,""value"":""${label}必须是绝对路径。""}]","插件连接配置无效。请按插件提供的说明检查命令、服务地址和访问参数。","The plugin connection configuration is invalid. Check the command, service address, and access parameters against the plugin’s instructions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MCP_APP_APPROVAL_REQUIRED","[{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":144,""value"":""MCP App 工具需要审批；请在扩展管理中设为允许，或配置可信 PermissionRequest Hook。""}]","这个应用操作需要授权。请在插件设置中检查该工具的权限。","This app action requires approval. Review the tool’s permissions in plugin settings.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MCP_TOOL_DENIED","[{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":135,""value"":""Plugin MCP 工具策略已拒绝执行。""},{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":143,""value"":""Plugin MCP App 工具策略已拒绝执行。""},{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":179,""value"":""Hook 引用的 MCP 工具已被权限策略禁用。""}]","插件的权限规则拒绝了这个操作。请查看插件权限及错误详情。","The plugin’s permission rules denied this action. Check the plugin permissions and error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_HOOK_TOOL_DENIED","[]","插件的权限规则拒绝了这个操作。请查看插件权限及错误详情。","The plugin’s permission rules denied this action. Check the plugin permissions and error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_HOOK_PERMISSION_DENIED","[]","插件的权限规则拒绝了这个操作。请查看插件权限及错误详情。","The plugin’s permission rules denied this action. Check the plugin permissions and error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MCP_TOOL_DECLINED","[{""file"":""packages/local-server/src/codexDynamicToolApplication.ts"",""line"":163,""value"":""The user declined the Plugin MCP tool call.""},{""file"":""packages/local-server/src/piNativeConversationCoordinator.ts"",""line"":1806,""value"":""用户已拒绝 Plugin MCP 工具。""}]","你已拒绝这次插件操作，它不会继续执行。","You declined this plugin action. It will not continue.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_HOOK_PROMPT_BLOCKED","[]","插件的检查规则阻止了这次请求。请查看插件提供的原因。","The plugin’s checks blocked this request. Review the reason provided by the plugin.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_HOOK_COMPACTION_BLOCKED","[]","插件的检查规则阻止了这次请求。请查看插件提供的原因。","The plugin’s checks blocked this request. Review the reason provided by the plugin.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_TOOL_APPROVAL_CHANNEL_UNAVAILABLE","[{""file"":""packages/local-server/src/codexPluginToolApprovalApplication.ts"",""line"":66,""value"":""Plugin 工具审批通道已断开；Zeus 不会把历史允许决定套用于新调用。""}]","插件的授权连接已断开，当前操作不能继续。请重新连接后处理最新授权请求。","The plugin’s approval connection was lost, so the action cannot continue. Reconnect and handle the latest approval request.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_MCP_TOOL_CHANGED","[{""file"":""packages/local-server/src/zeusPluginMcpBroker.ts"",""line"":156,""value"":""MCP Server 的工具 Schema 或元数据在会话期间发生漂移；Zeus 不会在旧会话中采用新定义。""}]","插件工具在本次对话期间已更新。请开始新对话使用新版本，当前对话不会自动切换。","The plugin tool changed during this conversation. Start a new conversation to use the new version. This conversation will not switch automatically.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_ACTIVATION_CORRUPT","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":743,""value"":""会话 Plugin 激活快照损坏，Zeus 不会改用当前版本。""},{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":780,""value"":""Plugin 组件路径离开不可变安装根目录。""}]","Zeus 无法读取保存的插件配置。请查看错误详情并检查插件安装。","Zeus cannot read the saved plugin configuration. See the error details and check the plugin installation.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_STORED_COMPONENTS_INVALID","[{""file"":""packages/storage/src/pluginStore.ts"",""line"":835,""value"":""Plugin 组件快照无效。""}]","Zeus 无法读取保存的插件配置。请查看错误详情并检查插件安装。","Zeus cannot read the saved plugin configuration. See the error details and check the plugin installation.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_STORED_JSON_INVALID","[{""file"":""packages/storage/src/pluginStore.ts"",""line"":846,""value"":""${label} JSON 无效：${error instanceof Error ? error.message : String(error)}""}]","Zeus 无法读取保存的插件配置。请查看错误详情并检查插件安装。","Zeus cannot read the saved plugin configuration. See the error details and check the plugin installation.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_SKILL_NOT_FOUND","[{""file"":""packages/local-server/src/nativeConversationSubmissionInputs.ts"",""line"":87,""value"":""所选 Skill “${value.name}” 已不存在，请重新选择。""},{""file"":""packages/local-server/src/piNativeConversationCoordinator.ts"",""line"":2394,""value"":""所选 Skill “${skill.name}” 已不存在。""}]","所选技能或插件在当前项目中不可用，请重新选择可用项。","The selected skill or plugin is unavailable in this project. Select an available item.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_SKILL_INPUT_INVALID","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":3144,""value"":""Skill ID 无效，请重新选择。""}]","所选技能或插件在当前项目中不可用，请重新选择可用项。","The selected skill or plugin is unavailable in this project. Select an available item.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PLUGIN_REFERENCE_NOT_FOUND","[{""file"":""packages/local-server/src/zeusPluginService.ts"",""line"":474,""value"":""Plugin/Skill 引用 ${reference.id} 在当前项目不可用。""}]","所选技能或插件在当前项目中不可用，请重新选择可用项。","The selected skill or plugin is unavailable in this project. Select an available item.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_PLUGIN_SKILL_UNAVAILABLE","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":1386,""value"":""Plugin Skill ${value.id} 在当前项目不可用。""}]","所选技能或插件在当前项目中不可用，请重新选择可用项。","The selected skill or plugin is unavailable in this project. Select an available item.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_SKILL_REFERENCE_DUPLICATE","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":294,""value"":""同一轮不能重复选择同一个 Skill。""}]","同一条消息不能重复选择同一个技能，请移除重复项。","The same skill cannot be selected twice for one message. Remove the duplicate.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_SKILL_REFERENCES_INVALID","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":287,""value"":""skillReferences 必须是最多包含 8 项的数组。""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":291,""value"":""第 ${index + 1} 个 Skill 引用缺少稳定 ID。""}]","一条消息最多选择 8 个技能，请检查技能选择。","Select up to 8 skills for one message. Check your selection.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_BASE_URL_INVALID","[{""file"":""packages/local-server/src/zentaoCredentialService.ts"",""line"":55,""value"":""实例地址必须是有效的 http/https 地址，且不包含账号、查询参数或片段。""}]","禅道地址必须是完整的 http:// 或 https:// 地址，且不能包含账号或查询参数。","Enter a complete http:// or https:// ZenTao address without credentials or query parameters.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_DUPLICATE_HOST","[{""file"":""packages/local-server/src/zentaoCredentialService.ts"",""line"":68,""value"":""实例地址 ${normalized.host} 已配置。""}]","这个禅道地址已经配置，请编辑已有连接。","This ZenTao address is already configured. Edit its existing connection.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_INSTANCE_ALREADY_EXISTS","[{""file"":""packages/local-server/src/zentaoCredentialService.ts"",""line"":124,""value"":""禅道实例已存在。""}]","这个禅道地址已经配置，请编辑已有连接。","This ZenTao address is already configured. Edit its existing connection.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_INSTANCE_NOT_FOUND","[{""file"":""packages/local-server/src/zentaoCredentialService.ts"",""line"":49,""value"":""禅道实例不存在。""}]","找不到这个禅道连接，请刷新连接列表。","This ZenTao connection could not be found. Refresh the connection list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_BROWSER_SECURE_FIELD_BLOCKED","[{""file"":""apps/desktop/src/main/browserHost.ts"",""line"":1326,""value"":""ZEUS_BROWSER_SECURE_FIELD_BLOCKED: Use Browser Auth so the credential never enters Provider arguments or tool history.""},{""file"":""apps/desktop/src/main/browserHost.ts"",""line"":3819,""value"":""ZEUS_BROWSER_SECURE_FIELD_BLOCKED: Use Browser Auth so the credential never enters Provider arguments or tool history.""}]","密码等敏感信息需要由你在浏览器登录窗口中填写。","Enter sensitive information, such as passwords, yourself in the browser sign-in window.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_BROWSER_EXTENSION_TIMEOUT","[{""file"":""apps/desktop/src/main/externalBrowserHost.ts"",""line"":352,""value"":""ZEUS_BROWSER_EXTENSION_TIMEOUT: ${surface} 扩展调用超时。""}]","浏览器扩展未能及时响应。请检查目标浏览器和 Zeus 扩展是否已打开。","The browser extension did not respond in time. Check that the target browser and Zeus extension are open.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_401","[]","模型服务拒绝了访问密钥（API Key）。请在模型供应商设置中检查密钥。","The model service rejected the API key. Check it in model provider settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
